Entity,Year,Code,Renewables (% equivalent primary energy),increase,world_avg,world_avg_diff,world_avg_change,Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Solar (% equivalent primary energy),Other Renewables (% equivalent primary energy),Hydro (% renewable),Wind (% renewable),Solar (% renewable),Others (% renewable)
Ireland,1967,IRL,2.8878038,-0.4238596000000001,6.435174,-3.5473702,13.330302999999997,2.8878038,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Israel,1967,ISR,0.0,0.0,6.435174,-6.435174,3.8796991000000007,0.0,0.0,0.0,0.0,,,,
Italy,1967,ITA,12.396455,-1.3933049999999998,6.435174,5.961281,11.151931300000001,11.465374,0.0,0.0,0.9310809999999989,92.5,0.0,0.0,7.5
Japan,1967,JPN,8.7938595,-2.8572214999999996,6.435174,2.3586855,9.653628,8.7938595,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Kuwait,1967,KWT,0.0,0.0,6.435174,-6.435174,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Luxembourg,1967,LUX,0.65776145,0.08375131999999996,6.435174,-5.77741255,2.33356695,0.65776145,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Malaysia,1967,MYS,5.2158365,-0.13065749999999987,6.435174,-1.2193375,8.6250236,5.2158365,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Mexico,1967,MEX,10.291331,0.6582209999999993,6.435174,3.8561569999999996,9.911286999999998,10.291331,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Morocco,1967,MAR,11.197634,-2.145980999999999,6.435174,4.762460000000001,20.13248,11.197634,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Netherlands,1967,NLD,0.0,0.0,6.435174,-6.435174,6.313079369999999,0.0,0.0,0.0,0.0,,,,
New Zealand,1967,NZL,39.84817,0.30311999999999983,6.435174,33.41299600000001,15.883623999999994,36.325394,0.0,0.0,3.5227760000000004,91.2,0.0,0.0,8.8
